FID,Parcel_cla,site,pointnum,Latitude,Longitude,mspa,landform,formcode,patchid,groveid,ROCKAGE,ROCKTYPE1,ROCKTYPE2,DistEdge,Aspect,MUSYM,SoilArea,DEM10,CanopyHt,Schumaker_Avg,Penetrometer
589,Institution,JH,1,39.302176,-76.656199,33,slope,6,,,Early Paleozoic - Late Precambrian (?),quartz diorite,granite,16,196.791092,31UB,468314.7924,60.517593,0.589996,0.148148148,180
590,Institution,JH,10,39.302827,-76.658194,17,slope,6,1749,,Early Paleozoic - Late Precambrian (?),quartz diorite,granite,111.803398,312.035278,17B,22647.58886,57.046799,14.860004,0.346153846,90
591,Institution,JH,11,39.302464,-76.65815,17,spur,5,1749,,Early Paleozoic - Late Precambrian (?),quartz diorite,granite,68.410522,310.241486,29B,43141.62168,59.488873,10.125004,1.055555556,250
592,Institution,JH,12,39.302083,-76.658113,17,ridge,3,1749,,Early Paleozoic - Late Precambrian (?),quartz diorite,granite,70,116.332985,18UC,167016.7996,61.031494,6.619995,0.1875,230
593,Institution,JH,13,39.302795,-76.65865,17,spur,5,1749,,Early Paleozoic - Late Precambrian (?),quartz diorite,granite,154.738495,294.915955,17B,22647.58886,56.276279,13.395,1.9,165
594,Institution,JH,14,39.302426,-76.658624,17,spur,5,1749,,Early Paleozoic - Late Precambrian (?),quartz diorite,granite,192.603226,289.897461,17B,22647.58886,57.97517,12.880001,1.111111111,130
595,Institution,JH,15,39.30205,-76.658586,17,ridge,3,1749,,Early Paleozoic - Late Precambrian (?),quartz diorite,granite,106,276.734283,18UC,167016.7996,60.018295,21.434998,0.791666667,130
596,Institution,JH,3,39.302154,-76.656671,3,spur,5,1749,,Early Paleozoic - Late Precambrian (?),quartz diorite,granite,8.246211,167.135162,31UB,468314.7924,60.188862,3.110001,0.555555556,180
597,Institution,JH,4,39.30288,-76.657226,17,spur,5,1749,,Early Paleozoic - Late Precambrian (?),quartz diorite,granite,99.959991,318.938324,29B,43141.62168,60.33036,9.519997,0.863636364,160
598,Institution,JH,5,39.302507,-76.657188,17,ridge,3,1749,,Early Paleozoic - Late Precambrian (?),quartz diorite,granite,68.468971,223.550064,29B,43141.62168,61.354015,12.439999,0.25,220
