ID,Point Code,Stem,Species Code,Schumaker,Schumaker (A)
2757,FF 5,5,LITU,2,0
2758,FF 5,6,LITU,2,0
2759,FF 5,7,QUAL,2,0
2760,FF 5,8,PRSE2,4,0
2761,FF 5,9,PRSE2,5,0
2762,FF 5,10,JUNI,4,0
2763,FF 6,1,QUAL,2,0
2764,FF 6,2,QUAL,2,0
2765,FF 6,3,QUAL,2,0
2766,FF 6,4,ACNE2,2,0
2767,FF 6,5,PRSE2,2,0
2768,FF 6,6,PRSE2,2,0
2769,FF 6,7,PRAV,0,0
2770,FF 6,8,ULRU,1,0
2771,FF 6,9,Dead,1,0
2772,FF 6,10,PATO2,4,1
2773,FF 6,11,NYSY,3,0
2774,FF 7,1,MORU2,1,0
2775,FF 7,2,ROPS,1,0
2776,FF 7,3,ROPS,3,0
2777,FF 7,4,ROPS,2,0
2778,FF 7,5,ACPL,3,0
2779,FF 9,1,ACPL,3,0
2780,FF 9,2,CAGL8,1,0
2781,FF 9,3,FAGR,1,0
2782,FF 9,4,QUMO4,0,0
2783,FF 9,5,QUMO4,1,0
2784,FF 9,6,LITU,2,0
2785,FF 9,7,LITU,3,0
2786,FF 9,8,QUAL,2,0
2787,FF 9,9,QUAL,2,0
2788,FF 9,10,QUAL,0,0
2789,FF 9,11,PRAV,0,0
2790,FF 9,12,QUVE,1,0
2791,FF 9,13,QUVE,3,0
2407,FRIENDS 1,1,FAGR,1,0
2408,FRIENDS 1,2,AIAL,1,0
2409,FRIENDS 1,3,GLTR,1,0
2410,FRIENDS 10,1,AIAL,1,0
2411,FRIENDS 10,2,AIAL,5,0
2412,FRIENDS 10,3,PATO2,5,0
2413,FRIENDS 11,1,LIGUS2,4,0
2414,FRIENDS 11,2,ACSA3,2,0
2415,FRIENDS 11,3,ACSA3,4,0
2416,FRIENDS 11,4,QUPA2,3,0
2417,FRIENDS 11,5,PRSE2,3,0
2418,FRIENDS 11,6,PRAV,3,0
2419,FRIENDS 11,7,PRAV,3,0
2420,FRIENDS 11,8,PIST,3,0
2421,FRIENDS 11,9,ACNE2,1,0
2422,FRIENDS 11,10,ACNE2,4,0
2423,FRIENDS 11,11,MORU2,2,0
2424,FRIENDS 11,12,MORU2,3,0
2425,FRIENDS 11,13,MORU2,4,0
2426,FRIENDS 11,14,CRMO2,4,0
2427,FRIENDS 11,15,FAGR,1,0
2428,FRIENDS 11,16,FAGR,1,0
2429,FRIENDS 11,17,QURU,3,0
2430,FRIENDS 12,1,QUPA2,2,0
2431,FRIENDS 12,2,QUPA2,2,0
2432,FRIENDS 12,3,QUPA2,2,0
2433,FRIENDS 12,4,QUPA2,3,0
2434,FRIENDS 12,5,ROPS,2,0
2435,FRIENDS 12,6,FRAM2,1,0
2436,FRIENDS 12,7,FRAM2,2,0
2437,FRIENDS 12,8,FRAM2,2,0
2438,FRIENDS 12,9,ULRU,2,0
2439,FRIENDS 13,1,PRSE2,1,0
2440,FRIENDS 13,2,PRSE2,2,0
2441,FRIENDS 13,3,QUPA2,1,0
2442,FRIENDS 13,4,QUPA2,2,0
2443,FRIENDS 13,5,QUPA2,3,0
2444,FRIENDS 13,6,QUPA2,3,0
2445,FRIENDS 13,7,QUPA2,3,0
2446,FRIENDS 13,8,LIST2,1,0
2447,FRIENDS 13,9,LIST2,3,0
2448,FRIENDS 13,10,FRPE,0,0
2449,FRIENDS 13,11,FRPE,2,0
2450,FRIENDS 14,1,QUCO2,1,0
2451,FRIENDS 14,2,QUCO2,2,0
2452,FRIENDS 14,3,QUCO2,2,0
2453,FRIENDS 14,4,QUCO2,3,0
2454,FRIENDS 14,5,ROPS,1,0
2455,FRIENDS 14,6,ROPS,3,0
2456,FRIENDS 14,7,GLTR,1,0
2457,FRIENDS 14,8,GLTR,1,0
2458,FRIENDS 14,9,FRPE,0,0
2459,FRIENDS 14,10,FRPE,0,0
2460,FRIENDS 14,11,QUPA2,2,0
2461,FRIENDS 14,12,QUPA2,3,0
2462,FRIENDS 14,13,QUPA2,3,0
2463,FRIENDS 14,14,QUPA2,3,0
2464,FRIENDS 14,15,QUPA2,3,0
2465,FRIENDS 14,16,QUPA2,5,0
2466,FRIENDS 14,17,ULRU,1,0
2467,FRIENDS 15,1,FRAM2,1,0
2468,FRIENDS 15,2,GLTR,1,0
2469,FRIENDS 15,3,GLTR,3,0
2470,FRIENDS 15,4,ULRU,2,0
2471,FRIENDS 15,5,ULRU,3,0
2472,FRIENDS 15,6,ULRU,3,0
2473,FRIENDS 15,7,QUCO2,1,0
2474,FRIENDS 15,8,QUCO2,1,0
2475,FRIENDS 15,9,QUCO2,3,0
2476,FRIENDS 15,10,QUPA2,2,0
2477,FRIENDS 15,11,QUPA2,3,0
2478,FRIENDS 15,12,QUPA2,3,0
2479,FRIENDS 15,13,PRSE2,0,0
2480,FRIENDS 16,1,QUPH,0,0
2481,FRIENDS 16,2,QUPH,1,0
2482,FRIENDS 16,3,QUPH,2,0
2483,FRIENDS 16,4,ACSA3,0,0
2484,FRIENDS 16,5,ACSA3,0,0
2485,FRIENDS 16,6,ACSA3,1,0
2486,FRIENDS 16,7,QUPA2,0,0
2487,FRIENDS 16,8,QUPA2,1,0
2488,FRIENDS 16,9,QUPA2,2,0
2489,FRIENDS 16,10,QUPA2,3,0
2490,FRIENDS 16,11,PRSE2,0,0
2491,FRIENDS 16,12,PRSE2,0,0
2492,FRIENDS 16,13,PRSE2,0,0
2493,FRIENDS 17,1,DIVI5,0,0
2494,FRIENDS 17,2,TIAM,1,0
2495,FRIENDS 17,3,ACSA3,0,0
2496,FRIENDS 17,4,PRSE2,1,0
2497,FRIENDS 17,5,PRSE2,2,0
2498,FRIENDS 17,6,ULRU,1,0
2499,FRIENDS 17,7,ULRU,1,0
2500,FRIENDS 17,8,AIAL,2,0
2501,FRIENDS 17,9,QUPA2,0,0
2502,FRIENDS 17,10,QUPA2,1,0
2503,FRIENDS 17,11,QUPA2,3,0
2504,FRIENDS 17,12,QUPA2,3,0
2505,FRIENDS 17,13,QUPA2,3,0
2506,FRIENDS 17,14,QUPA2,3,0
2507,FRIENDS 17,15,QUPA2,6,0
2508,FRIENDS 17,16,QUPH,1,0
2509,FRIENDS 2,1,ULRU,0,0
2510,FRIENDS 2,2,ULRU,1,0
2511,FRIENDS 2,3,MOAL,0,0
2512,FRIENDS 2,4,MOAL,1,0
2513,FRIENDS 2,5,ACSA3,2,0
2514,FRIENDS 2,6,ACNE2,1,0
2515,FRIENDS 2,7,ACNE2,1,0
2516,FRIENDS 2,8,ROPS,0,0
2517,FRIENDS 3,1,LITU,0,0
2518,FRIENDS 3,2,LITU,1,0
2519,FRIENDS 3,3,ACRU,1,0
2520,FRIENDS 3,4,ACRU,2,0
2521,FRIENDS 3,5,ACRU,4,0
2522,FRIENDS 3,6,CECA4,1,0
2523,FRIENDS 4,1,PLATA,1,0
2524,FRIENDS 4,2,PLATA,4,0
2525,FRIENDS 4,3,SANI,0,0
2526,FRIENDS 4,4,SANI,3,0
2527,FRIENDS 4,5,SANI,3,0
2528,FRIENDS 4,6,SANI,4,0
2529,FRIENDS 4,7,SANI,4,0
2530,FRIENDS 4,8,SANI,5,0
2531,FRIENDS 4,9,SANI,5,0
2532,FRIENDS 5,1,LINDE2,2,0
2533,FRIENDS 5,2,ACNE2,0,0
2534,FRIENDS 5,3,GLTR,2,0
2535,FRIENDS 5,4,GLTR,2,0
2536,FRIENDS 5,5,PRSE2,0,0
2537,FRIENDS 5,6,PRSE2,0,0
2538,FRIENDS 5,7,PRSE2,2,0
2539,FRIENDS 5,8,JUNI,1,0
2540,FRIENDS 5,9,JUNI,1,0
2541,FRIENDS 5,10,LITU,1,0
2542,FRIENDS 5,11,ULRU,0,0
2543,FRIENDS 5,12,ULRU,1,0
2544,FRIENDS 5,13,ULRU,3,0
2545,FRIENDS 5,14,ULRU,3,0
2546,FRIENDS 5,15,MOAL,0,0
2547,FRIENDS 5,16,MOAL,0,0
2548,FRIENDS 6,1,SANI,5,0
2549,FRIENDS 6,2,SANI,5,0
2550,FRIENDS 6,3,SANI,5,0
2551,FRIENDS 6,4,SANI,5,0
2552,FRIENDS 7,1,ACNE2,1,0
2553,FRIENDS 7,2,ACNE2,2,0
2554,FRIENDS 7,3,ULRU,1,0
2555,FRIENDS 7,4,ULRU,1,0
2556,FRIENDS 7,5,ULRU,1,0
2557,FRIENDS 7,6,ULRU,4,0
2558,FRIENDS 7,7,ULRU,5,0
2559,FRIENDS 7,8,LITU,1,0
2560,FRIENDS 7,9,LITU,1,0
2561,FRIENDS 7,10,LITU,2,0
2562,FRIENDS 7,11,ROPS,1,0
2563,FRIENDS 7,12,ROPS,1,0
2564,FRIENDS 7,13,ROPS,2,0
2565,FRIENDS 7,14,ROPS,2,0
2566,FRIENDS 8,1,ACRU,1,0
2567,FRIENDS 8,2,ACRU,1,0
2568,FRIENDS 8,3,ACNE2,0,0
2569,FRIENDS 8,4,ACNE2,2,0
2570,FRIENDS 8,5,ACNE2,3,0
2571,FRIENDS 8,6,ACSA2,2,0
2572,FRIENDS 8,7,LITU,0,0
2573,FRIENDS 8,8,LITU,2,0
2574,FRIENDS 8,9,LITU,2,0
2575,FRIENDS 8,10,ROPS,0,0
2576,FRIENDS 9,1,PLATA,1,0
2577,FRIENDS 9,2,PLATA,5,0
2578,FRIENDS 9,3,ACNE2,4,0
2579,FRIENDS 9,4,ACNE2,4,0
504,G 1,1,MAPO,4,1
505,G 1,2,MAPO,2,0
506,G 1,3,JUNI,5,0
507,G 1,4,ULAM,1,0
508,G 1,5,ULAM,1,0
509,G 1,6,MORU2,4,1
510,G 1,7,MORU2,5,1
511,G 1,8,MORU2,5,1
512,G 2,1,ROPS,0,0
513,G 2,2,ROPS,3,1
514,G 2,3,ROPS,3,1
515,G 2,4,MAAC,0,0
516,G 2,5,ULAM,1,0
517,G 2,6,ULAM,0,0
518,G 2,7,PRSE2,0,0
519,G 2,8,Dead,0,0
520,G 3,1,FRAM2,0,0
521,G 3,2,FRAM2,0,0
522,G 3,3,FRAM2,0,0
523,G 3,4,FRAM2,0,0
524,G 3,5,FRAM2,3,1
525,G 3,6,JUNI,0,0
526,G 3,7,JUNI,0,0
527,G 3,8,JUNI,0,0
528,G 3,9,JUNI,0,0
529,G 3,10,ULAM,0,0
530,G 3,11,ACPL,3,0
531,G 3,12,MORU2,0,0
532,G 3,13,PRSE2,0,0
1427,GILMAN 1,1,LIST2,4,0
1428,GILMAN 1,2,LIST2,0,0
1429,GILMAN 1,3,LIST2,1,0
1430,GILMAN 1,4,LIST2,2,0
1431,GILMAN 1,5,LIST2,3,0
