"221","1","9999999","10 YR","Silty Clay","9999999","2","LOYOLA 60","3.0"
"222","1","9999999","9999999","9999999","9999999","9999999","LOYOLA 64","9999999.0"
"223","1","9999999","10 YR","Silty Clay Loam","9999999","2","SETON 2","3.0"
"224","1","9999999","10 YR","Silty Clay","9999999","2","SETON 6","3.0"
"225","1","9999999","10 YR","Silty Clay Loam","9999999","3","SETON 9","3.0"
"226","1","9999999","10 YR","Silty Loam","9999999","3","SETON 13","3.0"
"227","1","9999999","10 YR","Silty Clay","9999999","2","SETON 15","3.0"
"228","1","9999999","10 YR","Silty Loam","9999999","3","SETON 17","3.0"
"229","1","9999999","10 YR","Sandy Clay Loam","9999999","3","SETON 20","3.0"
"230","1","9999999","10 YR","Sandy Clay Loam","9999999","3","SETON 23","3.0"
"231","1","9999999","10 YR","Sandy Clay Loam","9999999","4","SETON 26","3.0"
"232","1","9999999","10 YR","Sandy Loam","9999999","2","SETON 29","2.0"
"233","1","9999999","10 YR","Sandy Loam","9999999","3","GS 2","3.0"
"234","1","9999999","10 YR","Silty Clay Loam","9999999","3","GS 5","4.0"
"235","1","9999999","10 YR","Sandy Loam","9999999","2","GS 8","3.0"
"236","1","9999999","10 YR","Silty Clay Loam","9999999","2","GS 10","3.0"
"237","1","9999999","10 YR","Silty Clay","9999999","2","GS 14","4.0"
"238","1","9999999","10 YR","Sandy Loam","9999999","2","GS 18","4.0"
"239","1","9999999","7.5 YR","Sandy Loam","9999999","3","GS 21","2.5"
"240","1","9999999","10 YR","Silty Loam","9999999","2","GS 26","3.0"
"241","1","9999999","10 YR","Sandy Clay Loam","9999999","2","GS 28","4.0"
"242","1","9999999","9999999","9999999","9999999","9999999","GS 31","9999999.0"
"243","1","9999999","10 YR","Silty Clay Loam","9999999","2","SINAI 4","3.0"
"244","1","9999999","10 YR","Silty Loam","9999999","1","SINAI 7","3.0"
"245","1","9999999","10 YR","Silty Loam","9999999","1","SINAI 9","4.0"
"246","1","9999999","10 YR","Clay Loam","9999999","2","SINAI 13","3.0"
"247","1","9999999","7.5 YR","Silty Clay","9999999","1","SINAI 16","2.5"
"248","1","9999999","10 YR","Silty Clay Loam","9999999","2","SINAI 19","3.0"
"249","1","9999999","10 YR","Silty Loam","9999999","2","SINAI 23","3.0"
"250","1","9999999","10 YR","Sandy Clay Loam","9999999","3","SINAI 26","3.0"
"251","1","9999999","10 YR","Silty Loam","9999999","1","SINAI 27","2.0"
"252","1","9999999","10 YR","Silty Loam","9999999","2","SINAI 31","2.0"
"253","1","9999999","10 YR","Silty Loam","9999999","2","SINAI 34","2.0"
"254","1","9999999","10 YR","Silty Clay","9999999","3","MDSB 2","3.0"
"255","1","9999999","10 YR","Loam","9999999","2","MDSB 3","2.0"
"256","1","9999999","10 YR","Silty Loam","9999999","3","MDSB 4","3.0"
"257","1","9999999","10 YR","Loam","9999999","4","MDSB 5","3.0"
"258","1","9999999","10 YR","Clay Loam","9999999","3","MDSB 6","3.0"
"259","1","9999999","10 YR","Silty Loam","9999999","1","MDSB 7","2.0"
"260","1","9999999","10 YR","Silty Clay","9999999","2","MDSB 9","2.0"
"261","1","9999999","10 YR","Silty Clay","9999999","1","MDSB 10","2.0"
"262","1","9999999","10 YR","Sandy Clay Loam","9999999","1","MDSB 11","2.0"
"263","1","9999999","10 YR","Sandy Loam","9999999","1","MDSB 12","2.0"
"264","1","9999999","7.5 YR","Sandy Loam","9999999","2","MDSB 13","3.0"
"265","1","9999999","10 YR","Sandy Loam","9999999","1","MDSB 16","2.0"
"266","1","9999999","10 YR","Sandy Loam","9999999","1","MDSB 19","2.0"
"267","1","9999999","10 YR","Silty Loam","9999999","1","MDSB 22","2.0"
"268","1","9999999","10 YR","Clay Loam","9999999","2","MDSB 25","3.0"
"269","1","9999999","10 YR","Sandy Loam","9999999","2","MDSB 28","2.0"
"270","1","9999999","10 YR","Silty Loam","9999999","1","MDSB 31","3.0"
"271","1","9999999","10 YR","Sitly Clay","9999999","3","MDSB 34","3.0"
"272","1","9999999","10 YR","Silty Loam","9999999","4","MDSB 37","3.0"
"273","1","9999999","10 YR","Sandy Loam","9999999","2","MDSB 40","3.0"
"274","1","9999999","10 YR","Silty Loam","9999999","2","MDSB 43","4.0"
"275","1","9999999","10 YR","Sandy Clay Loam","9999999","2","MDSB 45","3.0"
"276","1","9999999","7.5 YR","Silty Loam","9999999","1","MDSB 48","2.5"
"277","1","20","9999999","O Layer","0","9999999","HEPP 12","9999999.0"
"278","2","200","9999999","9999999","20","9999999","HEPP 12","9999999.0"
"279","1","35","9999999","O Layer","0","9999999","HEPP 3","9999999.0"
"280","2","9999999","9999999","Gravel","9999999","9999999","HEPP 3","9999999.0"
"281","1","200","9999999","O Layer","0","9999999","SW 4","9999999.0"
"282","1","9999999","9999999","9999999","9999999","9999999","FRIENDS 1","9999999.0"
"283","1","9999999","9999999","9999999","9999999","9999999","FRIENDS 7","9999999.0"
"284","1","9999999","9999999","9999999","9999999","9999999","ND 5","9999999.0"
"285","1","9999999","9999999","9999999","9999999","9999999","HR 15","9999999.0"
