567,9,ULRU,4,AH 11,0
568,10,ULRU,4,AH 11,0
569,11,ULRU,4,AH 11,0
570,12,Dead,3,AH 11,0
571,1,FRPE,0,AH 12,0
572,2,FRPE,4,AH 12,0
573,3,FRPE,4,AH 12,0
574,4,FRPE,5,AH 12,0
575,5,FRPE,5,AH 12,0
576,6,FRPE,5,AH 12,0
577,7,PLOC,0,AH 12,0
578,8,Dead,5,AH 12,0
579,9,ULRU,4,AH 12,0
580,10,ULRU,4,AH 12,0
581,11,ULRU,4,AH 12,0
582,12,ULRU,5,AH 12,0
583,13,AIAL,4,AH 12,0
584,1,ULRU,2,AH 13,0
585,2,ULRU,2,AH 13,0
586,3,ULRU,3,AH 13,0
587,4,ULRU,5,AH 13,0
588,5,ULRU,5,AH 13,0
589,6,ROPS,3,AH 13,0
590,7,ROPS,4,AH 13,0
591,8,ROPS,5,AH 13,0
592,9,ACRU,4,AH 13,0
593,10,ACRU,4,AH 13,0
594,11,FRPE,3,AH 13,0
595,12,Dead,5,AH 13,0
596,13,LITU,4,AH 13,0
597,14,AIAL,3,AH 13,0
598,1,ACRU,3,AH 14,0
599,2,ACRU,4,AH 14,0
600,3,QUPA2,4,AH 14,0
601,4,Dead,5,AH 14,0
602,5,PLOC,4,AH 14,0
603,6,ROPS,5,AH 14,0
604,1,AIAL,0,AH 15,0
605,2,AIAL,0,AH 15,0
606,3,ROPS,4,AH 15,0
607,4,ROPS,5,AH 15,0
608,5,FRPE,0,AH 15,0
609,6,FRPE,2,AH 15,0
610,7,FRPE,3,AH 15,0
611,8,FRPE,4,AH 15,0
612,9,FRPE,4,AH 15,0
613,10,CAGL8,0,AH 15,0
614,11,CAGL8,0,AH 15,0
615,12,ULRU,0,AH 15,0
616,13,ULRU,4,AH 15,0
617,1,FRPE,2,AH 16,0
618,2,FRPE,3,AH 16,0
619,3,FRPE,4,AH 16,0
620,4,FRPE,5,AH 16,0
621,5,CAGL8,3,AH 16,0
622,6,CAGL8,4,AH 16,0
623,7,ACRU,4,AH 16,0
624,8,AIAL,3,AH 16,0
625,1,ULRU,0,AH 17,0
626,2,FRPE,0,AH 17,0
627,3,FRPE,0,AH 17,0
628,4,FRPE,4,AH 17,0
629,5,QUPA2,0,AH 17,0
630,6,QUPA2,1,AH 17,0
631,7,QUPA2,3,AH 17,0
632,8,LITU,0,AH 17,0
633,9,LITU,0,AH 17,0
634,10,LITU,0,AH 17,0
