"516","AMBR7","45","AH 14",
"517","TORA2","1","AH 1","yes"
"518","CACA18","1","AH 10","yes"
"519","AMBR7","1","AH 10","yes"
"520","ROMU","1","AH 11","yes"
"521","FRAGA","1","AH 12","yes"
"522","AMBR7","1","AH 12","yes"
"523","PAQU2","1","AH 13","yes"
"524","VITIS","1","AH 13","yes"
"525","LIBE3","1","AH 13","yes"
"526","QURU","1","AH 16","yes"
"527","CAGL8","1","AH 16","yes"
"528","FAGR","1","AH 2","yes"
"529","EUAM9","1","AH 2","yes"
"530","ARTR","1","AH 4","yes"
"531","PAQU2","1","AH 4","yes"
"532","QUPA2","1","AH 5","yes"
"533","VIPR","1","AH 6","yes"
"534","TORA2","1","AH 6","yes"
"535","FRAGA","1","AH 7","yes"
"536","ACRU","1","AH 7","yes"
"537","QUPA2","1","AH 7","yes"
"538","TORA2","1","AH 7","yes"
"539","VITIS","1","AH 8","yes"
"540","TORA2","1","AH 8","yes"
"541","VIPR","1","AH 9","yes"
"542","QUPA2","1","AH 9","yes"
"543","LOJA","1","AH 9","yes"
"544","LONIC","1","FRIENDS 12",
"545","PRSE2","1","FRIENDS 12",
"546","PAQU2","1","FRIENDS 3",
"547","Unidentified","1","FRIENDS 7",
"548","ALPE4","1","FRIENDS 8",
"549","TORA2","1","FRIENDS 9",
"550","QUERC","2","FRIENDS 12",
"551","AMBR7","2","FRIENDS 5",
"552","HEHE","2","FRIENDS 8",
"553","Unidentified","3","FRIENDS 3",
"554","Unidentified Vine","3","FRIENDS 5",
"555","FRAGA","3","FRIENDS 7",
"556","HEHE","3","FRIENDS 7",
"557","LONIC","5","FRIENDS 3",
"558","AMBR7","5","FRIENDS 9",
"559","AMBR7","6","FRIENDS 3",
"560","LINDE2","6","FRIENDS 8",
"561","CRATA","7","FRIENDS 12",
"562","PAQU2","10","FRIENDS 17",
"563","RUTH","10","FRIENDS 2",
"564","LONIC","10","FRIENDS 2",
"565","HEHE","10","FRIENDS 5",
"566","HEHE","10","FRIENDS 9",
"567","HEHE","15","FRIENDS 15",
"568","TORA2","15","FRIENDS 17",
"569","PAQU2","15","FRIENDS 2",
"570","Unidentified Vine","15","FRIENDS 2",
"571","VIMI2","15","FRIENDS 5",
"572","Grass","20","FRIENDS 9",
"573","TORA2","25","FRIENDS 5",
"574","HEHE","30","FRIENDS 12",
"575","HEHE","30","FRIENDS 17",
"576","AMBR7","30","FRIENDS 4",
"577","HEHE","35","FRIENDS 13",
"578","HEHE","40","FRIENDS 1",
"579","TORA2","40","FRIENDS 12",
"580","LINDE2","40","FRIENDS 5",
"581","LONIC","42","FRIENDS 16",
"582","CORNU","45","FRIENDS 13",
"583","HEHE","55","FRIENDS 11",
"584","LOMA6","75","FRIENDS 15",
"585","TORA2","98","FRIENDS 14",
"586","AMBR7","1","FRIENDS 1","yes"
"587","RUBUS","1","FRIENDS 10","yes"
"588","HEHE","1","FRIENDS 16","yes"
"589","PRSE2","1","FRIENDS 16","yes"
"590","LONIC","1","FRIENDS 17","yes"
"591","HEHE","1","FRIENDS 3","yes"
"592","SOAL6","1","FRIENDS 3","yes"
"593","PLMA2","1","FRIENDS 4","yes"
"594","IMCA","1","FRIENDS 4","yes"
"595","IMCA","1","FRIENDS 6","yes"
"596","BOEHM","1","FRIENDS 6","yes"
"597","AMBR7","1","FRIENDS 6","yes"
"598","GLHE2","1","FRIENDS 7","yes"
"599","AMBR7","99","FRIENDS 10",
"1184","RUBUS","1","GILMAN 18",
"1185","ROMU","1","GILMAN 20",
"1186","MAAN3","1","GILMAN 3",
"1187","QUPR2","1","GILMAN 5",
"1188","RUBUS","2","GILMAN 13",
"1189","PAQU2","2","GILMAN 13",
"1190","POCU6","2","GILMAN 16",
"1191","FRAXI","2","GILMAN 3",
"1192","VAAN","2","GILMAN 5",
"1193","HEHE","3","GILMAN 10",
"1194","Unidentified","4","GILMAN 12",
"1195","QUPR2","4","GILMAN 4",
"1196","IMCA","5","GILMAN 1",
"1197","ALPE4","5","GILMAN 16",
"1198","SEVA4","5","GILMAN 19",
"1199","HEHE","5","GILMAN 2",
"1200","PAQU2","5","GILMAN 24",
"1201","HEHE","5","GILMAN 3",
"1202","TORA2 ","5","GILMAN 5",
"1203","CEOR7","8","GILMAN 3",
"1204","LONIC","10","GILMAN 1",
"1205","LONIC","10","GILMAN 2",
"1206","CEOR7","12","GILMAN 9",
"1207","ROMU","15","GILMAN 22",
"1208","CIAR4","15","GILMAN 23",
"1209","QUAL","15","GILMAN 5",
"1210","TORA2 ","15","GILMAN 6",
"1211","ROMU","20","GILMAN 21",
"1212","SOAL6","25","GILMAN 1",
"1213","AMBR7","25","GILMAN 22",
"1214","Moss","25","GILMAN 3",
"1215","PRSE2","25","GILMAN 5",
"1216","HEHE","25","GILMAN 7",
"1217","LOTA","25","GILMAN 9",
"1218","AMBR7","40","GILMAN 14",
"1219","CACA18","40","GILMAN 22",
"1220","HEHE","40","GILMAN 6",
"1221","SOAL6","45","GILMAN 12",
"1222","HEHE","55","GILMAN 9",
"1223","HEHE","65","GILMAN 15",
