"352","3","150","HR 15"
"353","4","150","HR 15"
"354","5","140","HR 15"
"355","1","300","HR 16"
"356","2","350","HR 16"
"357","3","350","HR 16"
"358","4","350","HR 16"
"359","5","250","HR 16"
"360","1","150","HR 17"
"361","2","150","HR 17"
"362","3","150","HR 17"
"363","4","150","HR 17"
"364","5","150","HR 17"
"365","1","400","HR 18"
"366","2","399","HR 18"
"367","3","300","HR 18"
"368","4","250","HR 18"
"369","5","300","HR 18"
"370","1","150","HR 19"
"371","2","175","HR 19"
"372","3","175","HR 19"
"373","4","160","HR 19"
"374","5","130","HR 19"
"375","1","175","HR 2"
"376","2","175","HR 2"
"377","3","150","HR 2"
"378","4","150","HR 2"
"379","5","100","HR 2"
"380","1","150","HR 20"
"381","2","150","HR 20"
"382","3","150","HR 20"
"383","4","125","HR 20"
"384","5","150","HR 20"
"385","1","150","HR 3"
"386","2","125","HR 3"
"387","3","150","HR 3"
"388","4","100","HR 3"
"389","5","125","HR 3"
"390","1","125","HR 4"
"391","2","140","HR 4"
"392","3","95","HR 4"
"393","4","115","HR 4"
"394","5","125","HR 4"
"395","1","90","HR 5"
"396","2","130","HR 5"
"397","3","90","HR 5"
"398","4","150","HR 5"
"399","5","125","HR 5"
"400","1","325","HR 6"
"401","2","350","HR 6"
"402","3","300","HR 6"
"403","4","310","HR 6"
"404","5","350","HR 6"
"405","1","50","HR 7"
"406","2","75","HR 7"
"407","3","100","HR 7"
"408","4","100","HR 7"
"409","5","110","HR 7"
"410","1","75","HR 8"
"411","2","100","HR 8"
"412","3","75","HR 8"
"413","4","100","HR 8"
"414","5","75","HR 8"
"415","1","250","HR 9"
"416","2","250","HR 9"
"417","3","300","HR 9"
"418","4","300","HR 9"
"419","5","225","HR 9"
"420","1","75","LOYOLA 18"
"421","5","85","LOYOLA 22"
"422","1","85","LOYOLA 34"
"423","5","95","LOYOLA 16"
"424","1","95","LOYOLA 24"
"425","3","95","LOYOLA 34"
"426","1","100","LOYOLA 10"
"427","4","100","LOYOLA 10"
"428","5","100","LOYOLA 10"
"429","4","100","LOYOLA 16"
"430","2","100","LOYOLA 18"
"431","3","100","LOYOLA 18"
"432","2","100","LOYOLA 34"
"433","4","100","LOYOLA 34"
"434","2","110","LOYOLA 10"
"435","2","110","LOYOLA 16"
"436","3","110","LOYOLA 16"
"437","4","110","LOYOLA 22"
"438","2","110","LOYOLA 24"
"439","5","110","LOYOLA 34"
"440","4","115","LOYOLA 18"
"441","5","115","LOYOLA 18"
"442","4","115","LOYOLA 24"
"443","2","120","LOYOLA 22"
"444","3","120","LOYOLA 22"
"445","3","125","LOYOLA 10"
"446","1","125","LOYOLA 16"
"447","3","125","LOYOLA 24"
"448","4","125","LOYOLA 4"
"449","2","130","LOYOLA 12"
"450","2","140","LOYOLA 52 "
"451","1","150","LOYOLA 12"
"452","4","150","LOYOLA 12"
"453","5","150","LOYOLA 12"
"454","1","150","LOYOLA 22"
"455","5","150","LOYOLA 24"
"456","5","150","LOYOLA 4"
"457","3","150","LOYOLA 52 "
"458","4","150","LOYOLA 52 "
"459","2","150","LOYOLA 8"
"460","5","160","LOYOLA 52 "
"461","1","175","LOYOLA 4"
"462","1","175","LOYOLA 8"
"463","3","200","LOYOLA 12"
"464","1","200","LOYOLA 26"
"465","2","200","LOYOLA 4"
"466","3","200","LOYOLA 4"
"467","3","200","LOYOLA 8"
"468","4","200","LOYOLA 8"
"469","5","200","LOYOLA 8"
"470","1","240","LOYOLA 52 "
"471","1","250","LOYOLA 36"
"472","2","250","LOYOLA 36"
"473","4","250","LOYOLA 36"
"474","5","260","LOYOLA 58"
"475","3","275","LOYOLA 36"
"476","1","275","LOYOLA 58"
"477","2","275","LOYOLA 60"
"478","4","280","LOYOLA 58"
"479","5","300","LOYOLA 36"
"480","2","300","LOYOLA 58"
"481","3","300","LOYOLA 58"
"482","1","300","LOYOLA 60"
"483","3","300","LOYOLA 60"
"484","4","300","LOYOLA 60"
"485","5","350","LOYOLA 60"
"486","1","400","LOYOLA 64"
"487","2","400","LOYOLA 64"
"488","3","400","LOYOLA 64"
"489","4","400","LOYOLA 64"
"490","5","400","LOYOLA 64"
"491","1",,"LOYOLA 14"
"492","2",,"LOYOLA 14"
"493","3",,"LOYOLA 14"
"494","4",,"LOYOLA 14"
"495","5",,"LOYOLA 14"
"496","1",,"LOYOLA 2"
"497","2",,"LOYOLA 2"
"498","3",,"LOYOLA 2"
"499","4",,"LOYOLA 2"
"500","5",,"LOYOLA 2"
"501","1",,"LOYOLA 20"
"502","2",,"LOYOLA 20"
"503","3",,"LOYOLA 20"
"504","4",,"LOYOLA 20"
"505","5",,"LOYOLA 20"
"506","2",,"LOYOLA 26"
"507","3",,"LOYOLA 26"
"508","4",,"LOYOLA 26"
"509","5",,"LOYOLA 26"
"510","1",,"LOYOLA 30"
"511","2",,"LOYOLA 30"
"512","3",,"LOYOLA 30"
"513","4",,"LOYOLA 30"
"514","5",,"LOYOLA 30"
"515","1",,"LOYOLA 40"
"516","2",,"LOYOLA 40"
"517","3",,"LOYOLA 40"
"518","4",,"LOYOLA 40"
"519","5",,"LOYOLA 40"
"520","1",,"LOYOLA 42"
"521","2",,"LOYOLA 42"
"522","3",,"LOYOLA 42"
"523","4",,"LOYOLA 42"
"524","5",,"LOYOLA 42"
"525","1",,"LOYOLA 54"
"526","2",,"LOYOLA 54"
"527","3",,"LOYOLA 54"
"528","4",,"LOYOLA 54"
"529","5",,"LOYOLA 54"
"530","1",,"LOYOLA 56"
"531","2",,"LOYOLA 56"
"532","3",,"LOYOLA 56"
"533","4",,"LOYOLA 56"
"534","5",,"LOYOLA 56"
"535","1",,"LOYOLA 6"
"536","2",,"LOYOLA 6"
"537","3",,"LOYOLA 6"
"538","4",,"LOYOLA 6"
"539","5",,"LOYOLA 6"
"540","1",,"LOYOLA 62"
"541","2",,"LOYOLA 62"
"542","3",,"LOYOLA 62"
"543","4",,"LOYOLA 62"
"544","5",,"LOYOLA 62"
"740","1","150","MDSB 10"
"741","2","120","MDSB 10"
"742","3","100","MDSB 10"
"743","4","150","MDSB 10"
"744","5","150","MDSB 10"
"745","1","90","MDSB 11"
"746","2","100","MDSB 11"
"747","3","110","MDSB 11"
"748","4","100","MDSB 11"
"749","5","75","MDSB 11"
"750","1","80","MDSB 12"
"751","2","60","MDSB 12"
"752","3","75","MDSB 12"
"753","4","60","MDSB 12"
"754","5","60","MDSB 12"
"755","1","75","MDSB 13"
"756","2","100","MDSB 13"
"757","3","100","MDSB 13"
"758","4","90","MDSB 13"
"759","5","100","MDSB 13"
"760","1","40","MDSB 16"
"761","2","40","MDSB 16"
